====================================================================================================================================================================================
DEGRADED DATA EXPERIMENT - FULL RESULTS
Win comparison: Traffic vs GNN only  (Shortest path and Classifier are recorded but NOT included in wins/losses)
Date: 20260514_215944
Routes: 20, Scenarios: 6, Levels: 12
Runs per level: 120
====================================================================================================================================================================================

SUMMARY BY DEGRADATION LEVEL
(Wins = Traffic vs GNN comparison only; Ties = within 2-second threshold)

   Level |   GNN W | Traffic | Ties |  Win % |      Avg Times |        Δ |    Impr | Compute Times
  ------------------------------------------------------------------------------------------------------------------------
   minor |  35/119 |  20/119 |  64 |   29.4% | T: 881.1s G: 869.7s | Δ:  29.4s |    +1.3% | T:0.082s G:0.514s
     90% |   6/119 |  65/119 |  48 |    5.0% | T: 843.4s G: 876.9s | Δ:  34.1s |    +3.8% | T:0.093s G:0.523s
     80% |  15/119 |  61/119 |  43 |   12.6% | T: 847.7s G: 877.9s | Δ:  35.6s |    +3.4% | T:0.095s G:0.516s
     70% |  13/119 |  65/119 |  41 |   10.9% | T: 854.0s G: 888.3s | Δ:  41.1s |    +3.9% | T:0.095s G:0.530s
     60% |  20/119 |  63/119 |  36 |   16.8% | T: 861.6s G: 892.5s | Δ:  40.6s |    +3.5% | T:0.089s G:0.484s
     50% |  33/119 |  51/119 |  35 |   27.7% | T: 871.9s G: 895.8s | Δ:  43.7s |    +2.7% | T:0.088s G:0.485s
     40% |  39/119 |  50/119 |  30 |   32.8% | T: 891.9s G: 901.7s | Δ:  48.8s |    +1.1% | T:0.087s G:0.480s
     30% |  41/119 |  49/119 |  29 |   34.5% | T: 893.7s G: 900.6s | Δ:  43.3s |    +0.8% | T:0.086s G:0.483s
     20% |  45/119 |  44/119 |  30 |   37.8% | T: 922.4s G: 916.8s | Δ:  73.8s |    +0.6% | T:0.087s G:0.497s
     10% |  52/119 |  45/119 |  22 |   43.7% | T: 944.8s G: 944.7s | Δ:  72.4s |    +0.0% | T:0.092s G:0.518s
      5% |  62/119 |  35/119 |  22 |   52.1% | T: 967.8s G: 939.5s | Δ:  73.2s |    +2.9% | T:0.085s G:0.499s
      0% |  47/119 |  40/119 |  32 |   39.5% | T: 961.7s G: 955.4s | Δ:  34.6s |    +0.7% | T:0.081s G:0.494s


DETAILED RESULTS (per route)
   Level | Route                          | Scenario                            | Dist(km) |    Winner | Short(s)  Traf(s)   GNN(s)   Cls(s)
     80% | North to South                 | Vingis park concert congestions + road closure |    11.58 |   TRAFFIC |     1221      880      890     1107
     80% | Pilaite to Pasilaiciai         | Vingis park concert congestions + road closure |     9.88 |       GNN |      929      958      929     1108
     80% | Lazdynai to Antakalnis         | Vingis park concert congestions + road closure |    10.11 |   TRAFFIC |     1404      926      929     1220
     80% | Pilaite to Fabijoniskes        | Vingis park concert congestions + road closure |    10.76 |   TRAFFIC |     1030     1038     1085     1209
     80% | Lazdynai to Jeruzale           | Vingis park concert congestions + road closure |     9.79 |       GNN |     1078      844      838     1035
     80% | South to Northeast             | Vingis park concert congestions + road closure |    11.13 |       TIE |     1716     1072     1072     1287
     80% | Ring road W to E               | Vingis park concert congestions + road closure |    16.35 |   TRAFFIC |     1920     1099     1106     1876
     80% | Grigiskes to Verkiai           | Vingis park concert congestions + road closure |    24.31 |       GNN |     1923     1704     1699     1855
     80% | Salininkai to Seskine          | Vingis park concert congestions + road closure |     9.30 |       TIE |     1079      730      730      741
     70% | Old Town loop                  | Normal traffic                      |     1.53 |       TIE |      333      328      328      328
     70% | Gediminas Ave                  | Normal traffic                      |     1.08 |       TIE |      237      249      249      234
     70% | Station to centre              | Normal traffic                      |     1.69 |   TRAFFIC |      453      453      457      421
     70% | Uzupis internal                | Normal traffic                      |     2.14 |       TIE |      368      368      368      368
     70% | Zirmunai to Naujamiestis       | Normal traffic                      |     5.68 |   TRAFFIC |     1053      716      966     1091
     70% | Antakalnis to centre           | Normal traffic                      |     3.93 |   TRAFFIC |      673      596      617      756
     70% | Seskine to Old Town            | Normal traffic                      |     6.05 |       GNN |      759      764      731      779
     70% | Karoliniskes to Uzupis         | Normal traffic                      |     7.56 |   TRAFFIC |     1114     1007     1068     1161
     70% | Justiniskes to centre          | Normal traffic                      |     6.61 |       GNN |      785      802      746      808
     70% | Fabijoniskes to river          | Normal traffic                      |     6.13 |       TIE |      669      690      690     1039
     70% | West to East                   | Normal traffic                      |    13.05 |   TRAFFIC |     1523     1457     1569     1707
     70% | North to South                 | Normal traffic                      |    11.58 |   TRAFFIC |     1221      880      960     1107
     70% | Pilaite to Pasilaiciai         | Normal traffic                      |     9.88 |       GNN |      929      958      929     1108
     70% | Lazdynai to Antakalnis         | Normal traffic                      |    10.11 |   TRAFFIC |     1404      927     1015     1220
     70% | Pilaite to Fabijoniskes        | Normal traffic                      |    10.76 |   TRAFFIC |     1030     1059     1085     1209
     70% | Lazdynai to Jeruzale           | Normal traffic                      |     9.79 |   TRAFFIC |     1078      838      844     1035
     70% | South to Northeast             | Normal traffic                      |    11.13 |   TRAFFIC |     1716     1072     1078     1287
     70% | Ring road W to E               | Normal traffic                      |    16.35 |   TRAFFIC |     1920     1099     1116     1876
     70% | Grigiskes to Verkiai           | Normal traffic                      |    24.31 |       TIE |     1923     1699     1699     1855
     70% | Salininkai to Seskine          | Normal traffic                      |     9.30 |       TIE |     1079      730      730      741
     70% | Old Town loop                  | all bridges old town destroyed_optimistic |     1.53 |   TRAFFIC |      333      328      355      328
     70% | Gediminas Ave                  | all bridges old town destroyed_optimistic |     1.08 |       TIE |      237      237      237      234
     70% | Station to centre              | all bridges old town destroyed_optimistic |     1.69 |   TRAFFIC |      453      424      457      421
     70% | Uzupis internal                | all bridges old town destroyed_optimistic |     2.14 |       TIE |      368      368      368      368
     70% | Zirmunai to Naujamiestis       | all bridges old town destroyed_optimistic |     7.05 |   TRAFFIC |     1095      870     1068     1335
     70% | Antakalnis to centre           | all bridges old town destroyed_optimistic |     6.43 |   TRAFFIC |     1045     1034     1083     1350
     70% | Seskine to Old Town            | all bridges old town destroyed_optimistic |     6.73 |       TIE |      892      878      878     1010
     70% | Karoliniskes to Uzupis         | all bridges old town destroyed_optimistic |     7.84 |   TRAFFIC |     1161     1004     1145     1165
     70% | Justiniskes to centre          | all bridges old town destroyed_optimistic |     7.18 |       TIE |      887      883      883      898
     70% | Fabijoniskes to river          | all bridges old town destroyed_optimistic |     6.13 |   TRAFFIC |      669      669      719      992
     70% | West to East                   | all bridges old town destroyed_optimistic |    13.05 |   TRAFFIC |     1523     1333     1568     1707
     70% | North to South                 | all bridges old town destroyed_optimistic |    11.93 |       GNN |     1375     1298     1272     1500
     70% | Pilaite to Pasilaiciai         | all bridges old town destroyed_optimistic |     9.88 |       TIE |      929      929      929     1108
     70% | Lazdynai to Antakalnis         | all bridges old town destroyed_optimistic |    10.30 |   TRAFFIC |     1116      937     1026     1031
     70% | Pilaite to Fabijoniskes        | all bridges old town destroyed_optimistic |    10.76 |   TRAFFIC |     1030     1036     1085     1209
     70% | Lazdynai to Jeruzale           | all bridges old town destroyed_optimistic |     9.79 |   TRAFFIC |     1078      920      990     1035
     70% | South to Northeast             | all bridges old town destroyed_optimistic |    11.29 |   TRAFFIC |     1657     1286     1369     1287
     70% | Ring road W to E               | all bridges old town destroyed_optimistic |    16.39 |       TIE |     1109     1115     1115     1115
     70% | Grigiskes to Verkiai           | all bridges old town destroyed_optimistic |    26.28 |       GNN |     2530     2383     2312     2402
     70% | Salininkai to Seskine          | all bridges old town destroyed_optimistic |    10.27 |   TRAFFIC |     1221      987      991     1118
     70% | Old Town loop                  | Car crashes in Lazdynai             |     1.53 |       TIE |      333      328      328      328
     70% | Gediminas Ave                  | Car crashes in Lazdynai             |     1.08 |       TIE |      237      249      249      234
     70% | Station to centre              | Car crashes in Lazdynai             |     1.69 |   TRAFFIC |      453      421      457      421
     70% | Uzupis internal                | Car crashes in Lazdynai             |     2.14 |       TIE |      368      368      368      368
     70% | Zirmunai to Naujamiestis       | Car crashes in Lazdynai             |     5.68 |   TRAFFIC |     1053      716      954     1091
     70% | Antakalnis to centre           | Car crashes in Lazdynai             |     3.93 |   TRAFFIC |      673      596      663      756
     70% | Seskine to Old Town            | Car crashes in Lazdynai             |     6.05 |   TRAFFIC |      759      733      739      779
     70% | Karoliniskes to Uzupis         | Car crashes in Lazdynai             |     7.56 |   TRAFFIC |     1114      973     1100     1161
     70% | Justiniskes to centre          | Car crashes in Lazdynai             |     6.61 |   TRAFFIC |      785      730      736      808
     70% | Fabijoniskes to river          | Car crashes in Lazdynai             |     6.13 |       GNN |      669      690      669     1039
     70% | West to East                   | Car crashes in Lazdynai             |    13.05 |   TRAFFIC |     1523     1457     1569     1707
     70% | North to South                 | Car crashes in Lazdynai             |    11.58 |   TRAFFIC |     1221      880      960     1107
     70% | Pilaite to Pasilaiciai         | Car crashes in Lazdynai             |     9.88 |       TIE |      929      929      929     1108
     70% | Lazdynai to Antakalnis         | Car crashes in Lazdynai             |    10.11 |   TRAFFIC |     1404      926      942     1220
     70% | Pilaite to Fabijoniskes        | Car crashes in Lazdynai             |    10.76 |   TRAFFIC |     1030     1036     1085     1217
     70% | Lazdynai to Jeruzale           | Car crashes in Lazdynai             |     9.79 |   TRAFFIC |     1078      838      844     1035
     70% | South to Northeast             | Car crashes in Lazdynai             |    11.13 |   TRAFFIC |     1716     1072     1076     1287
     70% | Ring road W to E               | Car crashes in Lazdynai             |    16.35 |       TIE |     1920     1105     1106     1876
     70% | Grigiskes to Verkiai           | Car crashes in Lazdynai             |    24.31 |       TIE |     1923     1701     1701     1855
     70% | Salininkai to Seskine          | Car crashes in Lazdynai             |     9.30 |       TIE |     1079      730      730      741
     70% | Old Town loop                  | Protest at seimas Closure on Gedimino pr. |     1.53 |   TRAFFIC |      333      328      355      328
     70% | Station to centre              | Protest at seimas Closure on Gedimino pr. |     1.69 |   TRAFFIC |      453      421      424      421
     70% | Uzupis internal                | Protest at seimas Closure on Gedimino pr. |     2.14 |       TIE |      368      368      368      368
     70% | Zirmunai to Naujamiestis       | Protest at seimas Closure on Gedimino pr. |     5.68 |   TRAFFIC |     1053      716      954     1091
     70% | Antakalnis to centre           | Protest at seimas Closure on Gedimino pr. |     3.93 |   TRAFFIC |      673      652      695      756
     70% | Seskine to Old Town            | Protest at seimas Closure on Gedimino pr. |     6.65 |   TRAFFIC |      952      895      913      939
     70% | Karoliniskes to Uzupis         | Protest at seimas Closure on Gedimino pr. |     8.49 |   TRAFFIC |     1361      973     1003     1484
     70% | Justiniskes to centre          | Protest at seimas Closure on Gedimino pr. |     6.61 |       TIE |      785      736      736      808
     70% | Fabijoniskes to river          | Protest at seimas Closure on Gedimino pr. |     6.13 |       GNN |      669      711      690      992
     70% | West to East                   | Protest at seimas Closure on Gedimino pr. |    13.05 |   TRAFFIC |     1523     1478     1488     1707
     70% | North to South                 | Protest at seimas Closure on Gedimino pr. |    11.58 |   TRAFFIC |     1221      880      882     1107
     70% | Pilaite to Pasilaiciai         | Protest at seimas Closure on Gedimino pr. |     9.88 |       GNN |      929      958      929      929
     70% | Lazdynai to Antakalnis         | Protest at seimas Closure on Gedimino pr. |    10.30 |       TIE |     1116      938      938     1031
     70% | Pilaite to Fabijoniskes        | Protest at seimas Closure on Gedimino pr. |    10.76 |       GNN |     1030     1118     1085     1209
     70% | Lazdynai to Jeruzale           | Protest at seimas Closure on Gedimino pr. |     9.79 |       TIE |     1078      862      862     1035
     70% | South to Northeast             | Protest at seimas Closure on Gedimino pr. |    11.29 |       TIE |     1657     1072     1072     1287
     70% | Ring road W to E               | Protest at seimas Closure on Gedimino pr. |    16.39 |   TRAFFIC |     1109     1105     1118     1115
     70% | Grigiskes to Verkiai           | Protest at seimas Closure on Gedimino pr. |    24.31 |   TRAFFIC |     1923     1701     1736     1815
     70% | Salininkai to Seskine          | Protest at seimas Closure on Gedimino pr. |     9.30 |       TIE |     1079      730      730      737
     70% | Old Town loop                  | Shopping spree at Ozas while Ukmerges g. has construction |     1.53 |       TIE |      333      328      328      328
     70% | Gediminas Ave                  | Shopping spree at Ozas while Ukmerges g. has construction |     1.08 |       TIE |      237      249      249      237
     70% | Station to centre              | Shopping spree at Ozas while Ukmerges g. has construction |     1.69 |       TIE |      453      424      424      421
     70% | Uzupis internal                | Shopping spree at Ozas while Ukmerges g. has construction |     2.14 |   TRAFFIC |      368      368      431      368
     70% | Zirmunai to Naujamiestis       | Shopping spree at Ozas while Ukmerges g. has construction |     5.68 |   TRAFFIC |     1053      716      951     1091
     70% | Antakalnis to centre           | Shopping spree at Ozas while Ukmerges g. has construction |     3.93 |   TRAFFIC |      673      596      695      756
     70% | Seskine to Old Town            | Shopping spree at Ozas while Ukmerges g. has construction |     6.05 |   TRAFFIC |      759      725      742      779
     70% | Karoliniskes to Uzupis         | Shopping spree at Ozas while Ukmerges g. has construction |     7.56 |   TRAFFIC |     1114     1012     1100     1161
     70% | Justiniskes to centre          | Shopping spree at Ozas while Ukmerges g. has construction |     6.61 |       TIE |      785      736      736      808
     70% | Fabijoniskes to river          | Shopping spree at Ozas while Ukmerges g. has construction |     6.13 |       TIE |      669      669      669     1039
     70% | West to East                   | Shopping spree at Ozas while Ukmerges g. has construction |    13.05 |   TRAFFIC |     1523     1333     1592     1707
     70% | North to South                 | Shopping spree at Ozas while Ukmerges g. has construction |    11.58 |       TIE |     1221      880      880     1107
     70% | Pilaite to Pasilaiciai         | Shopping spree at Ozas while Ukmerges g. has construction |     9.88 |       TIE |      929      929      929     1108
     70% | Lazdynai to Antakalnis         | Shopping spree at Ozas while Ukmerges g. has construction |    10.11 |   TRAFFIC |     1404      938      940     1220
     70% | Pilaite to Fabijoniskes        | Shopping spree at Ozas while Ukmerges g. has construction |    10.76 |   TRAFFIC |     1030     1045     1074     1209
     70% | Lazdynai to Jeruzale           | Shopping spree at Ozas while Ukmerges g. has construction |     9.79 |       TIE |     1078      838      838     1035
     70% | South to Northeast             | Shopping spree at Ozas while Ukmerges g. has construction |    11.13 |   TRAFFIC |     1716     1072     1078     1287
     70% | Ring road W to E               | Shopping spree at Ozas while Ukmerges g. has construction |    16.35 |   TRAFFIC |     1920     1099     1126     1876
     70% | Grigiskes to Verkiai           | Shopping spree at Ozas while Ukmerges g. has construction |    24.31 |       GNN |     1923     1704     1699     1815
     70% | Salininkai to Seskine          | Shopping spree at Ozas while Ukmerges g. has construction |     9.30 |       TIE |     1079      730      730      741
     70% | Old Town loop                  | Vingis park concert congestions + road closure |     1.53 |       TIE |      333      328      328      328
     70% | Gediminas Ave                  | Vingis park concert congestions + road closure |     1.08 |       TIE |      237      237      237      234
     70% | Station to centre              | Vingis park concert congestions + road closure |     1.69 |   TRAFFIC |      453      453      457      421
     70% | Uzupis internal                | Vingis park concert congestions + road closure |     2.14 |       TIE |      368      368      368      368
     70% | Zirmunai to Naujamiestis       | Vingis park concert congestions + road closure |     5.68 |   TRAFFIC |     1053      716     1009     1091
     70% | Antakalnis to centre           | Vingis park concert congestions + road closure |     3.93 |   TRAFFIC |      673      596      695      668
     70% | Seskine to Old Town            | Vingis park concert congestions + road closure |     6.05 |   TRAFFIC |      759      735      742      774
     70% | Karoliniskes to Uzupis         | Vingis park concert congestions + road closure |     7.56 |   TRAFFIC |     1114     1007     1068     1161
     70% | Justiniskes to centre          | Vingis park concert congestions + road closure |     6.61 |       GNN |      785      771      736      808
     70% | Fabijoniskes to river          | Vingis park concert congestions + road closure |     6.13 |       GNN |      669      712      691      992
     70% | West to East                   | Vingis park concert congestions + road closure |    13.05 |   TRAFFIC |     1523     1334     1456     1707
     70% | North to South                 | Vingis park concert congestions + road closure |    11.58 |       TIE |     1221      880      880     1107
     70% | Pilaite to Pasilaiciai         | Vingis park concert congestions + road closure |     9.88 |       GNN |      929      958      929      929
     70% | Lazdynai to Antakalnis         | Vingis park concert congestions + road closure |    10.11 |   TRAFFIC |     1404      926     1069     1220
     70% | Pilaite to Fabijoniskes        | Vingis park concert congestions + road closure |    10.76 |   TRAFFIC |     1030     1038     1085     1209
     70% | Lazdynai to Jeruzale           | Vingis park concert congestions + road closure |     9.79 |       TIE |     1078      838      838     1035
     70% | South to Northeast             | Vingis park concert congestions + road closure |    11.13 |   TRAFFIC |     1716     1076     1082     1287
     70% | Ring road W to E               | Vingis park concert congestions + road closure |    16.35 |   TRAFFIC |     1920     1105     1115     1876
     70% | Grigiskes to Verkiai           | Vingis park concert congestions + road closure |    24.31 |       TIE |     1923     1699     1699     1855
     70% | Salininkai to Seskine          | Vingis park concert congestions + road closure |     9.30 |       TIE |     1079      730      730      741
     60% | Old Town loop                  | Normal traffic                      |     1.53 |       TIE |      333      328      328      328
     60% | Gediminas Ave                  | Normal traffic                      |     1.08 |       TIE |      237      249      249      234
     60% | Station to centre              | Normal traffic                      |     1.69 |   TRAFFIC |      453      421      457      421
     60% | Uzupis internal                | Normal traffic                      |     2.14 |       TIE |      368      368      368      368
     60% | Zirmunai to Naujamiestis       | Normal traffic                      |     5.68 |   TRAFFIC |     1053      844      946     1091
     60% | Antakalnis to centre           | Normal traffic                      |     3.93 |   TRAFFIC |      673      693      695      756
     60% | Seskine to Old Town            | Normal traffic                      |     6.05 |       GNN |      759      733      731      779
     60% | Karoliniskes to Uzupis         | Normal traffic                      |     7.56 |   TRAFFIC |     1114     1051     1100     1161
     60% | Justiniskes to centre          | Normal traffic                      |     6.61 |   TRAFFIC |      785      730      736      808
     60% | Fabijoniskes to river          | Normal traffic                      |     6.13 |       GNN |      669      711      669     1039
     60% | West to East                   | Normal traffic                      |    13.05 |   TRAFFIC |     1523     1334     1611     1707
     60% | North to South                 | Normal traffic                      |    11.58 |   TRAFFIC |     1221      880      890     1107
     60% | Pilaite to Pasilaiciai         | Normal traffic                      |     9.88 |       TIE |      929      929      929     1108
     60% | Lazdynai to Antakalnis         | Normal traffic                      |    10.11 |   TRAFFIC |     1404      944     1084     1220
     60% | Pilaite to Fabijoniskes        | Normal traffic                      |    10.76 |   TRAFFIC |     1030     1065     1085     1217
     60% | Lazdynai to Jeruzale           | Normal traffic                      |     9.79 |   TRAFFIC |     1078      838      842     1035
     60% | South to Northeast             | Normal traffic                      |    11.13 |   TRAFFIC |     1716     1072     1079     1287
     60% | Ring road W to E               | Normal traffic                      |    16.35 |   TRAFFIC |     1920     1105     1116     1876
     60% | Grigiskes to Verkiai           | Normal traffic                      |    24.31 |   TRAFFIC |     1923     1699     1743     1855
     60% | Salininkai to Seskine          | Normal traffic                      |     9.30 |       GNN |     1079      741      734      741
     60% | Old Town loop                  | all bridges old town destroyed_optimistic |     1.53 |       TIE |      333      328      328      328
     60% | Gediminas Ave                  | all bridges old town destroyed_optimistic |     1.08 |   TRAFFIC |      237      237      249      234
     60% | Station to centre              | all bridges old town destroyed_optimistic |     1.69 |       TIE |      453      421      421      421
     60% | Uzupis internal                | all bridges old town destroyed_optimistic |     2.14 |       TIE |      368      368      368      368
     60% | Zirmunai to Naujamiestis       | all bridges old town destroyed_optimistic |     7.05 |   TRAFFIC |     1095      870     1075     1335
     60% | Antakalnis to centre           | all bridges old town destroyed_optimistic |     6.43 |       TIE |     1045     1036     1036     1262
     60% | Seskine to Old Town            | all bridges old town destroyed_optimistic |     6.73 |   TRAFFIC |      892      877      879     1010
     60% | Karoliniskes to Uzupis         | all bridges old town destroyed_optimistic |     7.84 |   TRAFFIC |     1161     1107     1133     1165
     60% | Justiniskes to centre          | all bridges old town destroyed_optimistic |     7.18 |       GNN |      887      889      873      898
     60% | Fabijoniskes to river          | all bridges old town destroyed_optimistic |     6.13 |       GNN |      669      757      719     1039
     60% | West to East                   | all bridges old town destroyed_optimistic |    13.05 |   TRAFFIC |     1523     1419     1575     1707
     60% | North to South                 | all bridges old town destroyed_optimistic |    11.93 |   TRAFFIC |     1375     1254     1316     1500
     60% | Pilaite to Pasilaiciai         | all bridges old town destroyed_optimistic |     9.88 |       TIE |      929      929      929     1108
     60% | Lazdynai to Antakalnis         | all bridges old town destroyed_optimistic |    10.30 |   TRAFFIC |     1116      927     1010     1031
     60% | Pilaite to Fabijoniskes        | all bridges old town destroyed_optimistic |    10.76 |   TRAFFIC |     1030     1036     1085     1217
     60% | Lazdynai to Jeruzale           | all bridges old town destroyed_optimistic |     9.79 |       GNN |     1078     1067      990     1035
     60% | South to Northeast             | all bridges old town destroyed_optimistic |    11.29 |   TRAFFIC |     1657     1291     1374     1287
     60% | Ring road W to E               | all bridges old town destroyed_optimistic |    16.39 |   TRAFFIC |     1109     1105     1128     1115
     60% | Grigiskes to Verkiai           | all bridges old town destroyed_optimistic |    26.28 |       GNN |     2530     2416     2377     2402
     60% | Salininkai to Seskine          | all bridges old town destroyed_optimistic |    10.27 |       GNN |     1221     1011      991     1118
     60% | Old Town loop                  | Car crashes in Lazdynai             |     1.53 |       TIE |      333      328      328      328
     60% | Gediminas Ave                  | Car crashes in Lazdynai             |     1.08 |       TIE |      237      237      237      234
     60% | Station to centre              | Car crashes in Lazdynai             |     1.69 |       TIE |      453      424      424      421
     60% | Uzupis internal                | Car crashes in Lazdynai             |     2.14 |       TIE |      368      368      368      368
     60% | Zirmunai to Naujamiestis       | Car crashes in Lazdynai             |     5.68 |   TRAFFIC |     1053      720     1013     1091
     60% | Antakalnis to centre           | Car crashes in Lazdynai             |     3.93 |   TRAFFIC |      673      596      665      756
     60% | Seskine to Old Town            | Car crashes in Lazdynai             |     6.05 |       GNN |      759      760      742      779
     60% | Karoliniskes to Uzupis         | Car crashes in Lazdynai             |     7.56 |   TRAFFIC |     1114     1004     1073     1161
     60% | Justiniskes to centre          | Car crashes in Lazdynai             |     6.61 |       GNN |      785      790      736      808
     60% | Fabijoniskes to river          | Car crashes in Lazdynai             |     6.13 |   TRAFFIC |      669      712      790     1039
     60% | West to East                   | Car crashes in Lazdynai             |    13.05 |   TRAFFIC |     1523     1333     1585     1707
     60% | North to South                 | Car crashes in Lazdynai             |    11.58 |   TRAFFIC |     1221      880      987     1107
     60% | Pilaite to Pasilaiciai         | Car crashes in Lazdynai             |     9.88 |       TIE |      929      929      929      929
     60% | Lazdynai to Antakalnis         | Car crashes in Lazdynai             |    10.11 |   TRAFFIC |     1404      926     1021     1220
     60% | Pilaite to Fabijoniskes        | Car crashes in Lazdynai             |    10.76 |   TRAFFIC |     1030     1065     1074     1217
     60% | Lazdynai to Jeruzale           | Car crashes in Lazdynai             |     9.79 |       GNN |     1078      867      862     1035
     60% | South to Northeast             | Car crashes in Lazdynai             |    11.13 |   TRAFFIC |     1716     1072     1078     1287
     60% | Ring road W to E               | Car crashes in Lazdynai             |    16.35 |   TRAFFIC |     1920     1099     1118     1876
     60% | Grigiskes to Verkiai           | Car crashes in Lazdynai             |    24.31 |       TIE |     1923     1736     1736     1855
     60% | Salininkai to Seskine          | Car crashes in Lazdynai             |     9.30 |       TIE |     1079      737      737      741
     60% | Old Town loop                  | Protest at seimas Closure on Gedimino pr. |     1.53 |       TIE |      333      328      328      328
     60% | Station to centre              | Protest at seimas Closure on Gedimino pr. |     1.69 |   TRAFFIC |      453      453      457      421
     60% | Uzupis internal                | Protest at seimas Closure on Gedimino pr. |     2.14 |       TIE |      368      368      368      368
     60% | Zirmunai to Naujamiestis       | Protest at seimas Closure on Gedimino pr. |     5.68 |   TRAFFIC |     1053      716      898     1091
     60% | Antakalnis to centre           | Protest at seimas Closure on Gedimino pr. |     3.93 |       GNN |      673      650      598      756
     60% | Seskine to Old Town            | Protest at seimas Closure on Gedimino pr. |     6.65 |       GNN |      952      910      903      939
     60% | Karoliniskes to Uzupis         | Protest at seimas Closure on Gedimino pr. |     8.49 |   TRAFFIC |     1361      973     1078     1484
     60% | Justiniskes to centre          | Protest at seimas Closure on Gedimino pr. |     6.61 |       GNN |      785      801      746      808
     60% | Fabijoniskes to river          | Protest at seimas Closure on Gedimino pr. |     6.13 |       GNN |      669      699      669     1039
     60% | West to East                   | Protest at seimas Closure on Gedimino pr. |    13.05 |   TRAFFIC |     1523     1333     1585     1707
     60% | North to South                 | Protest at seimas Closure on Gedimino pr. |    11.58 |       TIE |     1221      880      880     1107
     60% | Pilaite to Pasilaiciai         | Protest at seimas Closure on Gedimino pr. |     9.88 |       TIE |      929      929      929     1108
     60% | Lazdynai to Antakalnis         | Protest at seimas Closure on Gedimino pr. |    10.30 |   TRAFFIC |     1116      937     1026     1031
     60% | Pilaite to Fabijoniskes        | Protest at seimas Closure on Gedimino pr. |    10.76 |   TRAFFIC |     1030     1059     1085     1209
     60% | Lazdynai to Jeruzale           | Protest at seimas Closure on Gedimino pr. |     9.79 |       TIE |     1078      838      838     1035
     60% | South to Northeast             | Protest at seimas Closure on Gedimino pr. |    11.29 |       TIE |     1657     1076     1076     1287
     60% | Ring road W to E               | Protest at seimas Closure on Gedimino pr. |    16.39 |   TRAFFIC |     1109     1105     1115     1115
     60% | Grigiskes to Verkiai           | Protest at seimas Closure on Gedimino pr. |    24.31 |   TRAFFIC |     1923     1699     1782     1855
     60% | Salininkai to Seskine          | Protest at seimas Closure on Gedimino pr. |     9.30 |       TIE |     1079      734      734      741
     60% | Old Town loop                  | Shopping spree at Ozas while Ukmerges g. has construction |     1.53 |       TIE |      333      333      333      328
     60% | Gediminas Ave                  | Shopping spree at Ozas while Ukmerges g. has construction |     1.08 |       TIE |      237      249      249      234
     60% | Station to centre              | Shopping spree at Ozas while Ukmerges g. has construction |     1.69 |       TIE |      453      453      453      421
     60% | Uzupis internal                | Shopping spree at Ozas while Ukmerges g. has construction |     2.14 |       TIE |      368      368      368      368
     60% | Zirmunai to Naujamiestis       | Shopping spree at Ozas while Ukmerges g. has construction |     5.68 |   TRAFFIC |     1053      716     1009     1091
     60% | Antakalnis to centre           | Shopping spree at Ozas while Ukmerges g. has construction |     3.93 |   TRAFFIC |      673      596      598      756
     60% | Seskine to Old Town            | Shopping spree at Ozas while Ukmerges g. has construction |     6.05 |   TRAFFIC |      759      729      731      779
     60% | Karoliniskes to Uzupis         | Shopping spree at Ozas while Ukmerges g. has construction |     7.56 |   TRAFFIC |     1114     1051     1094     1161
     60% | Justiniskes to centre          | Shopping spree at Ozas while Ukmerges g. has construction |     6.61 |       GNN |      785      751      736      808
     60% | Fabijoniskes to river          | Shopping spree at Ozas while Ukmerges g. has construction |     6.13 |       GNN |      669      700      691      911
     60% | West to East                   | Shopping spree at Ozas while Ukmerges g. has construction |    13.05 |   TRAFFIC |     1523     1483     1488     1707
     60% | North to South                 | Shopping spree at Ozas while Ukmerges g. has construction |    11.58 |   TRAFFIC |     1221      880      882     1107
     60% | Pilaite to Pasilaiciai         | Shopping spree at Ozas while Ukmerges g. has construction |     9.88 |       TIE |      929      929      929     1108
     60% | Lazdynai to Antakalnis         | Shopping spree at Ozas while Ukmerges g. has construction |    10.11 |   TRAFFIC |     1404      926     1026     1220
     60% | Pilaite to Fabijoniskes        | Shopping spree at Ozas while Ukmerges g. has construction |    10.76 |   TRAFFIC |     1030     1030     1040     1217
     60% | Lazdynai to Jeruzale           | Shopping spree at Ozas while Ukmerges g. has construction |     9.79 |       TIE |     1078      862      862     1035
     60% | South to Northeast             | Shopping spree at Ozas while Ukmerges g. has construction |    11.13 |   TRAFFIC |     1716     1072     1075     1287
     60% | Ring road W to E               | Shopping spree at Ozas while Ukmerges g. has construction |    16.35 |   TRAFFIC |     1920     1105     1109     1876
     60% | Grigiskes to Verkiai           | Shopping spree at Ozas while Ukmerges g. has construction |    24.31 |   TRAFFIC |     1923     1711     1789     1855
     60% | Salininkai to Seskine          | Shopping spree at Ozas while Ukmerges g. has construction |     9.30 |       TIE |     1079      730      730      737
     60% | Old Town loop                  | Vingis park concert congestions + road closure |     1.53 |   TRAFFIC |      333      328      355      328
     60% | Gediminas Ave                  | Vingis park concert congestions + road closure |     1.08 |   TRAFFIC |      237      237      249      237
