data_level,route,scenario,is_crisis,route_distance_km,avg_route_duration_minutes,time_shortest_s,time_traffic_s,time_gnn_s,time_classifier_s,compute_time_shortest_s,compute_time_traffic_s,compute_time_gnn_s,compute_time_classifier_s,winner,seed
minor,North to South,Shopping spree at Ozas while Ukmerges g. has construction,True,11.58,17.51,1221,880,880,1107,0.032,0.075,0.523,0.198,TIE,80123789
minor,Pilaite to Pasilaiciai,Shopping spree at Ozas while Ukmerges g. has construction,True,9.88,16.19,929,1014,929,1108,0.028,0.079,0.62,0.181,GNN,80088789
minor,Lazdynai to Antakalnis,Shopping spree at Ozas while Ukmerges g. has construction,True,10.11,19.52,1404,938,938,1220,0.029,0.085,0.573,0.326,TIE,80103989
minor,Pilaite to Fabijoniskes,Shopping spree at Ozas while Ukmerges g. has construction,True,10.76,17.45,1030,1064,1052,1209,0.029,0.076,0.462,0.244,GNN,80093789
minor,Lazdynai to Jeruzale,Shopping spree at Ozas while Ukmerges g. has construction,True,9.79,17.51,1078,1023,862,1035,0.035,0.081,0.539,0.205,GNN,80033789
minor,South to Northeast,Shopping spree at Ozas while Ukmerges g. has construction,True,11.13,23.23,1716,1072,1072,1287,0.03,0.077,0.449,0.299,TIE,80061789
minor,Ring road W to E,Shopping spree at Ozas while Ukmerges g. has construction,True,16.35,25.16,1920,1099,1105,1876,0.057,0.085,0.572,0.369,TRAFFIC,80153789
minor,Grigiskes to Verkiai,Shopping spree at Ozas while Ukmerges g. has construction,True,24.31,30.49,1923,1736,1736,1855,0.042,0.077,0.555,0.322,TIE,80066189
minor,Salininkai to Seskine,Shopping spree at Ozas while Ukmerges g. has construction,True,9.3,15.07,1079,730,730,741,0.036,0.075,0.609,0.304,TIE,80008789
minor,Old Town loop,Vingis park concert congestions + road closure,True,1.53,5.51,333,328,328,328,0.028,0.071,0.572,0.076,TIE,80079034
minor,Gediminas Ave,Vingis park concert congestions + road closure,True,1.08,3.95,237,237,237,237,0.024,0.085,0.533,0.081,TIE,80067034
